DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysOfExposure,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
07/07/2021 12:00:00 AM,09/03/2021 12:00:00 AM,Cyberattack,07/07/2021 12:00:00 AM,07/07/2021 12:00:00 AM,Famous Smoke Shop,10916,Ransomware,32950,Business,Retail,2022,2022,"10,000-49,999",0,0,0,0,true,0,,true,58,0
09/15/2021 12:00:00 AM,09/22/2021 12:00:00 AM,Unauthorized Access,09/13/2021 12:00:00 AM,,"Epik Holdings, Inc.",11011,,2040,Business,Web Services,2022,2022,"1,000-9,999",Unknown,,2,,false,,,false,7,Unknown
08/17/2020 12:00:00 AM,08/06/2021 12:00:00 AM,Cyberattack,07/27/2020 12:00:00 AM,08/17/2020 12:00:00 AM,"Ibex Global Solutions, Inc. (“Ibex”)",10841,Ransomware,891,Business,Professional Services,2022,2022,500-999,1-99,0,21,21,true,21,,true,354,1-99
09/14/2021 12:00:00 AM,09/24/2021 12:00:00 AM,Theft or Mistake,09/09/2021 12:00:00 AM,09/09/2021 12:00:00 AM,Zenith American Solutions,11033,,1687,Health,,2022,2022,"1,000-9,999",1-99,0,5,5,false,0,5,false,10,0
03/15/2021 12:00:00 AM,08/30/2021 12:00:00 AM,Unauthorized Access,03/13/2021 12:00:00 AM,,"Hyphen, LLC",11035,,1331,Finance,,2022,2022,"1,000-9,999",Unknown,,2,,false,,,false,168,Unknown
11/20/2020 12:00:00 AM,09/21/2021 12:00:00 AM,Cyberattack,03/11/2020 12:00:00 AM,12/15/2020 12:00:00 AM,"Dick Blick Holdings, Inc.",11040,Malware,690,Business,Retail,2022,2022,500-999,200-299,25,254,279,true,279,,false,305,200-299
03/30/2021 12:00:00 AM,09/24/2021 12:00:00 AM,Unauthorized Access,,08/27/2021 12:00:00 AM,"Hattrup & Associates, P.S.",11041,,2839,Finance,,2022,2022,"1,000-9,999",Unknown,150,,,true,,,false,178,Unknown
09/09/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Unauthorized Access,05/02/2020 12:00:00 AM,05/17/2020 12:00:00 AM,"The Neiman Marcus Group, LLC (“NMG” or the “Company”)",11043,,67410,Business,Retail,2022,2022,"50,000-999,999",400-499,0,495,495,false,15,480,false,21,1-99
04/24/2021 12:00:00 AM,10/08/2021 12:00:00 AM,Cyberattack,04/23/2021 12:00:00 AM,04/24/2021 12:00:00 AM,Smile Brands Inc.,11100,Ransomware,19235,Health,,2022,2022,"10,000-49,999",1-99,0,1,1,true,1,,true,167,1-99
08/10/2021 12:00:00 AM,10/08/2021 12:00:00 AM,Cyberattack,08/08/2021 12:00:00 AM,08/10/2021 12:00:00 AM,"ReproSource Fertility Diagnostics, Inc.",11101,Ransomware,6572,Health,,2022,2022,"1,000-9,999",1-99,0,2,2,true,2,,true,59,1-99
